"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Note [en]","Term [pl]","Description [pl]","Part of Speech [pl]","Status [pl]","Type [pl]","Note [pl]"
Psychologist,"Medical / station-specific.",NOUN,PREFERRED,FULL_FORM,,Psycholog,,,,,
Scientist,"Science crew.",NOUN,PREFERRED,FULL_FORM,,Naukowiec,,,,,
"Research Assistant","Science intern.",NOUN,PREFERRED,FULL_FORM,,"Asystent Naukowy",,,,,
Roboticist,"Science; robotics.",NOUN,PREFERRED,FULL_FORM,,Robotyk,,,,,
"Security Officer","Security crew.",NOUN,PREFERRED,FULL_FORM,,"Oficer Ochrony",,,,,
"Security Cadet","Security intern.",NOUN,PREFERRED,FULL_FORM,,"Kadet Ochrony",,,,,
Warden,"Security; brig.",NOUN,PREFERRED,FULL_FORM,"Not Strażnik.","Nadzorca Ochrony",,,,,
Detective,"Security; investigations.",NOUN,PREFERRED,FULL_FORM,,Detektyw,,,,,
Brigmedic,"Security medic.",NOUN,PREFERRED,FULL_FORM,,"Medyk Więzienny",,,,,
"Cargo Technician","Cargo crew.",NOUN,PREFERRED,FULL_FORM,,Logistyk,,,,,
"Salvage Specialist","Cargo; salvage.",NOUN,PREFERRED,FULL_FORM,,"Specjalista ds. Odzysku",,,,,
Bartender,"Civilian service.",NOUN,PREFERRED,FULL_FORM,,Barman,,,,,
Botanist,"Civilian; hydroponics.",NOUN,PREFERRED,FULL_FORM,,Botanik,,,,,
Chef,"Civilian; kitchen.",NOUN,PREFERRED,FULL_FORM,,Kucharz,,,,,
Janitor,"Civilian; custodial.",NOUN,PREFERRED,FULL_FORM,,Woźny,,,,,
Chaplain,"Civilian; chapel.",NOUN,PREFERRED,FULL_FORM,,Kapłan,,,,,
Lawyer,"Civilian; legal.",NOUN,PREFERRED,FULL_FORM,,Prawnik,,,,,
Librarian,"Civilian; library.",NOUN,PREFERRED,FULL_FORM,,Bibliotekarz,,,,,
Clown,Civilian.,NOUN,PREFERRED,FULL_FORM,,Klaun,,,,,
Mime,Civilian.,NOUN,PREFERRED,FULL_FORM,,Mim,,,,,
Musician,Civilian.,NOUN,PREFERRED,FULL_FORM,,Muzyk,,,,,
Reporter,"Civilian / station-specific.",NOUN,PREFERRED,FULL_FORM,,Dziennikarz,,,,,
"Service Worker","Civilian service intern.",NOUN,PREFERRED,FULL_FORM,,"Pracownik Obsługi",,,,,
Passenger,"Civilian; no department job.",NOUN,PREFERRED,FULL_FORM,"Assistant equivalent.",Pasażer,,,,,
Visitor,"Latejoin civilian.",NOUN,PREFERRED,FULL_FORM,,Gość,,,,,
"Tram Driver","Station-specific civilian.",NOUN,PREFERRED,FULL_FORM,,Motorniczy,,,,,
Cyborg,"Silicon crew.",NOUN,PREFERRED,FULL_FORM,"Borg / JobBorg.",Cyborg,,,,,
Borg,"Short form of Cyborg. Keep in Polish slang.",NOUN,PREFERRED,ABBREVIATION,,Borg,,,,,
"Station AI","Silicon; station AI.",NOUN,PREFERRED,FULL_FORM,,"SI Stacji",,,,,
AI,"Abbreviation of Station AI / artificial intelligence.",NOUN,PREFERRED,ABBREVIATION,,SI,,,,,
pAI,"Personal AI.",NOUN,PREFERRED,ABBREVIATION,,pSI,,,,,
"Nanotrasen Representative","Central Command liaison.",NOUN,PREFERRED,FULL_FORM,,"Przedstawiciel Nanotrasen",,,,,
NTR,"Abbreviation of Nanotrasen Representative.",NOUN,PREFERRED,ABBREVIATION,"Not the full title.",PNT,,,,,
Magistrate,"Central Command; legal.",NOUN,PREFERRED,FULL_FORM,,Sędzia,,,,,
"Internal Affairs Agent","Central Command; IAA.",NOUN,PREFERRED,FULL_FORM,"Not ISW.","Agent Spraw Wewnętrznych",,,,,
IAA,"Abbreviation of Internal Affairs Agent.",NOUN,PREFERRED,ABBREVIATION,"Not the full title.",ASW,,,,,
"Nanotrasen Career Trainer","Central Command; NCT.",NOUN,PREFERRED,FULL_FORM,,"Szkoleniowiec Kadr Nanotrasen",,,,,
NCT,"Abbreviation of Nanotrasen Career Trainer. Keep.",NOUN,PREFERRED,ABBREVIATION,,SKN,,,,,
Blueshield,"Command bodyguard. Often left untranslated.",NOUN,ADMITTED,FULL_FORM,,"Niebieska Tarcza",,,,,
"Blueshield Officer","Full job title for Blueshield.",NOUN,PREFERRED,FULL_FORM,,"Oficer ""Niebieska Tarcza""",,,,,
"CentComm Official","Central Command visitor.",NOUN,PREFERRED,FULL_FORM,,"Urzędnik CD",,,,,
"Central Command Official","Full form of CentComm Official.",NOUN,PREFERRED,FULL_FORM,,"Urzędnik Centralnego Dowództwa",,,,,
"CentComm Quarantine Officer",CBURN.,NOUN,PREFERRED,FULL_FORM,,"Oficer kwarantanny Centralnego Dowództwa",,,,,
CBURN,"CentComm biological response. Keep acronym.",NOUN,PREFERRED,ACRONYM,,CBURN,,,,,
"Death Squad","CentComm punishments unit.",NOUN,PREFERRED,FULL_FORM,,"Szwadron Śmierci",,,,,
DS,"Abbreviation of Death Squad.",,,,,SŚ,,,,,
"ERT Leader","Emergency Response Team leader.",NOUN,PREFERRED,FULL_FORM,,"Lider JSR",,,,,
"ERT Engineer","Emergency Response Team.",NOUN,PREFERRED,FULL_FORM,,"Inżynier JSR",,,,,
"ERT Medic","Emergency Response Team.",NOUN,PREFERRED,FULL_FORM,,"Medyk JSR",,,,,
"ERT Security","Emergency Response Team.",NOUN,PREFERRED,FULL_FORM,,"Ochrona JSR",,,,,
"ERT Janitor","Emergency Response Team.",NOUN,PREFERRED,FULL_FORM,,"Sprzątacz JSR",,,,,
"ERT Chaplain","Emergency Response Team.",NOUN,PREFERRED,FULL_FORM,,"Kapłan JSR",,,,,
Prisoner,"Brig inmate; not a crew job.",NOUN,PREFERRED,FULL_FORM,,Więzień,,,,,
Cargo,"Department name.",NOUN,PREFERRED,FULL_FORM,,Logistyka,,,,,
Civilian,"Department name.",NOUN,PREFERRED,FULL_FORM,,Cywilny,,,,,
Command,"Department name.",NOUN,PREFERRED,FULL_FORM,,Dowództwo,,,,,
Engineering,"Department name.",NOUN,PREFERRED,FULL_FORM,,Inżynieryjny,,,,,
Medical,"Department name.",NOUN,PREFERRED,FULL_FORM,,Medyczny,,,,,
Security,"Department name. Crew job is Oficer Ochrony.",NOUN,PREFERRED,FULL_FORM,,Ochrona,,,,,
Science,"Department name.",NOUN,PREFERRED,FULL_FORM,,"Badania i Rozwój",,,,,
R&D,"Research and Development.",NOUN,PREFERRED,ABBREVIATION,,B+R,,,,,
RND,"Alternate abbreviation of R&D.",NOUN,PREFERRED,ABBREVIATION,,B+R,,,,,
Silicon,"Department name.",NOUN,PREFERRED,FULL_FORM,"Crew silicon. Chemistry element is silicon = krzem.",Silikonowy,,,,,
"Central Command","Department name.",NOUN,PREFERRED,FULL_FORM,,"Centralne Dowództwo",,,,,
APC,"Area Power Controller. Keep acronym.",NOUN,PREFERRED,ACRONYM,,LKZ,,,,,
"Area Power Controller","Full form of APC.",NOUN,ADMITTED,FULL_FORM,,"Lokalny Kontroler Zasilania",,,,,
SMES,"Superconducting magnetic energy storage.",NOUN,PREFERRED,ACRONYM,,SMES,,,,,
"Superconducting Magnetic Energy Storage","Full form of SMES.",,,,,"Strefowy Magazyn Energii Superprzewodzącej ",,,,,
"advanced SMES","Higher-capacity SMES.",NOUN,PREFERRED,FULL_FORM,,"zaawansowany SMES",,,,,
substation,"MV power transformer.",NOUN,PREFERRED,FULL_FORM,,podstacja,,,,,
"wallmount substation","Compact substation.",NOUN,PREFERRED,FULL_FORM,,"naścienna podstacja",,,,,
HV,"High voltage. Abbreviation.",NOUN,PREFERRED,ABBREVIATION,,WN,,,,,
MV,"Medium voltage. Abbreviation.",NOUN,PREFERRED,ABBREVIATION,,ŚN,,,,,
LV,"Low voltage. Abbreviation.",NOUN,PREFERRED,ABBREVIATION,,NN,,,,,
"HV cable coil","High-voltage cable.",NOUN,PREFERRED,FULL_FORM,"HV = WN.","zwój kabli WN",,,,,
"MV cable coil","Medium-voltage cable.",NOUN,PREFERRED,FULL_FORM,"MV = ŚN.","zwój kabli ŚN",,,,,
"LV cable coil","Low-voltage / APC cable.",NOUN,PREFERRED,FULL_FORM,"LV = NN.","zwój kabli NN",,,,,
"P.A.C.M.A.N.-type portable generator","Plasma portable generator.",NOUN,PREFERRED,FULL_FORM,PACMAN,"przenośny generator typu P.A.C.M.A.N.",,,,,
"S.U.P.E.R.P.A.C.M.A.N.-type portable generator","Uranium portable generator.",NOUN,PREFERRED,FULL_FORM,,"przenośny generator typu S.U.P.E.R.P.A.C.M.A.N.",,,,,
"J.R.P.A.C.M.A.N.-type portable generator","Welding-fuel portable generator.",NOUN,PREFERRED,FULL_FORM,,"przenośny generator typu J.R.P.A.C.M.A.N.",,,,,
PACMAN,"Short name for P.A.C.M.A.N. generator. Keep acronym.",NOUN,PREFERRED,ACRONYM,,PACMAN,,,,,
"AME controller","Antimatter engine controller.",NOUN,PREFERRED,FULL_FORM,"AME = SAM.","kontroler SAM",,,,,
"AME shielding","Antimatter engine shielding.",NOUN,PREFERRED,FULL_FORM,,"obudowa SAM",,,,,
AME,"Antimatter Engine.",NOUN,PREFERRED,ACRONYM,"Polish acronym SAM.",SAM,,,,,
"Antimatter Engine","Full form of AME.",NOUN,PREFERRED,FULL_FORM,,"silnik antymaterii",,,,,
"thermo-electric generator",TEG.,NOUN,PREFERRED,FULL_FORM,,"termo-elektryczny generator",,,,,
TEG,"Thermo-electric generator. Keep acronym.",NOUN,PREFERRED,ACRONYM,,TEG,,,,,
circulator,"TEG gas circulator.",NOUN,PREFERRED,FULL_FORM,,cyrkulator,,,,,
RTG,"Radioisotope thermoelectric generator. Keep acronym.",NOUN,PREFERRED,ACRONYM,,RTG,,,,,
generator,"Generic thermoelectric generator.",NOUN,PREFERRED,FULL_FORM,,generator,,,,,
"solar panel","Solar power.",NOUN,PREFERRED,FULL_FORM,,"panel słoneczny",,,,,
emitter,"Containment / field emitter.",NOUN,PREFERRED,FULL_FORM,,emiter,,,,,
"containment field generator","Singularity/tesla containment.",NOUN,PREFERRED,FULL_FORM,,"generator pola ochronnego",,,,,
"containment field","Energy field between generators.",NOUN,PREFERRED,FULL_FORM,,"pole ochronne",,,,,
"radiation collector","Singularity power collector.",NOUN,PREFERRED,FULL_FORM,,"kolektor promieniowania",,,,,
"tesla coil","Tesla power tap.",NOUN,PREFERRED,FULL_FORM,,"cewka tesli",,,,,
"gravity generator","Station gravity.",NOUN,PREFERRED,FULL_FORM,,"generator grawitacji",,,,,
"PA control computer","Particle accelerator control.",NOUN,PREFERRED,FULL_FORM,,"komputer sterujący AC",,,,,
"Particle Accelerator","Full form of PA.",NOUN,PREFERRED,FULL_FORM,,"Akcelerator cząstek",,,,,
PA,"Particle Accelerator. Abbreviation.",NOUN,PREFERRED,ABBREVIATION,,AC,,,,,
RCD,"Rapid Construction Device.",NOUN,PREFERRED,ACRONYM,"Polish acronym USK.",USK,,,,,
"Rapid Construction Device","Full form of RCD.",NOUN,PREFERRED,FULL_FORM,"In-game name is USK / RCD.","urządzenie szybkiej konstrukcji",,,,,
RPD,"Rapid Pipe Dispenser.",NOUN,PREFERRED,ACRONYM,"Polish acronym USR.",USR,,,,,
"experimental RCD","Self-charging RCD.",NOUN,PREFERRED,FULL_FORM,,"eksperymentalny USK",,,,,
"compressed matter","RCD ammo.",NOUN,PREFERRED,FULL_FORM,,"sprasowana materia",,,,,
"welding tool",Welder.,NOUN,PREFERRED,FULL_FORM,,spawarka,,,,,
"industrial welding tool","Larger welder.",NOUN,PREFERRED,FULL_FORM,,"spawarka przemysłowa",,,,,
"experimental welding tool","Self-fueling welder.",NOUN,PREFERRED,FULL_FORM,,"eksperymentalna spawarka",,,,,
"emergency welding tool","Mini welder. FTL EN says emergency; PL says miniaturowa.",NOUN,PREFERRED,FULL_FORM,,"miniaturowa spawarka",,,,,
wrench,"Engineering tool.",NOUN,PREFERRED,FULL_FORM,,klucz,,,,,
screwdriver,"Engineering tool.",NOUN,PREFERRED,FULL_FORM,,śrubokręt,,,,,
wirecutter,"Engineering tool.",NOUN,PREFERRED,FULL_FORM,,obcinak,,,,,
crowbar,"Engineering tool.",NOUN,PREFERRED,FULL_FORM,,łom,,,,,
multitool,"Signalling / pulsing tool.",NOUN,PREFERRED,FULL_FORM,"Keep EN version.",multitool,,,,,
"network configurator","Device linking tool.",NOUN,PREFERRED,FULL_FORM,,"konfigurator sieci",,,,,
"power drill","Powered drill.",NOUN,PREFERRED,FULL_FORM,,wiertarka,,,,,
"jaws of life","Emergency pry/cut tool.",NOUN,PREFERRED,PHRASE,,"szczęki życia",,,,,
"t-ray scanner","Subfloor scanner.",NOUN,PREFERRED,FULL_FORM,,"skaner T-promieniowy",,,,,
omnitool,"Drone/borg all-in-one tool.",NOUN,PREFERRED,FULL_FORM,"Keep EN version.",omnitool,,,,,
"holofan projector","Atmos holofan.",NOUN,PREFERRED,FULL_FORM,,"projektor holowentylatorowy",,,,,
"holographic sign projector","Holosign projector.",NOUN,PREFERRED,FULL_FORM,,"projektor holograficzny",,,,,
"air alarm","Atmos monitoring alarm.",NOUN,PREFERRED,FULL_FORM,,"alarm atmosferyczny",,,,,
"fire alarm","Fire warning.",NOUN,PREFERRED,FULL_FORM,,"alarm pożarowy",,,,,
"air vent","Unary atmos vent.",NOUN,PREFERRED,FULL_FORM,,"otwór wentylacyjny",,,,,
"air scrubber","Unary atmos scrubber.",NOUN,PREFERRED,FULL_FORM,,"oczyszczacz powietrza",,,,,
"passive vent","Unpowered vent.",NOUN,PREFERRED,FULL_FORM,,"pasywny otwór wentylacyjny",,,,,
"air injector","Unary injector.",NOUN,PREFERRED,FULL_FORM,,"wtryskiwacz powietrza",,,,,
"gas pump","Binary pressure pump.",NOUN,PREFERRED,FULL_FORM,,"pompka ciśnieniowa",,,,,
"volumetric gas pump","Binary volume pump.",NOUN,PREFERRED,FULL_FORM,,"pompka objętościowa",,,,,
"passive gate","One-way unpowered valve.",NOUN,PREFERRED,FULL_FORM,,"zawór pasywny",,,,,
"manual valve","Manual pipe valve.",NOUN,PREFERRED,FULL_FORM,,"zawór ręczny",,,,,
"signal valve","Signal-controlled valve.",NOUN,PREFERRED,FULL_FORM,,"zawór sterowany sygnałem",,,,,
"pneumatic valve","Pressure-controlled valve.",NOUN,PREFERRED,FULL_FORM,,"zawór pneumatyczny",,,,,
"connector port","Canister/portable atmos port.",NOUN,PREFERRED,FULL_FORM,,"port gazowy",,,,,
"gas filter","Trinary filter.",NOUN,PREFERRED,FULL_FORM,,"filtr gazu",,,,,
"gas mixer","Trinary mixer.",NOUN,PREFERRED,FULL_FORM,,"mieszalnik gazu",,,,,
"gas recycler","CO2/N2O recycler.",NOUN,PREFERRED,FULL_FORM,,"recykler gazu",,,,,
radiator,"Pipe heat exchanger.",NOUN,PREFERRED,FULL_FORM,,radiator,,,,,
freezer,"Atmos freezer. EN UI name is freezer.",NOUN,PREFERRED,FULL_FORM,,"termomaszyna chłodząca",,,,,
heater,"Atmos heater. EN UI name is heater.",NOUN,PREFERRED,FULL_FORM,,"termomaszyna grzejąca",,,,,
thermomachine,"Generic atmos heater/freezer.",NOUN,PREFERRED,FULL_FORM,,termomaszyna,,,,,
condenser,"Gas-to-liquid condenser.",NOUN,PREFERRED,FULL_FORM,,"kondensator gazu",,,,,
"portable scrubber","Portable atmos scrubber.",NOUN,PREFERRED,FULL_FORM,,"przenośny oczyszczacz powietrza",,,,,
"space heater","Portable temperature unit.",NOUN,PREFERRED,FULL_FORM,,"termomaszyna kosmiczna",,,,,
"gas miner","Atmos gas miner.",NOUN,PREFERRED,FULL_FORM,,"koparka gazu",,,,,
"inflatable barricade","Engineering inflatable wall.",NOUN,PREFERRED,FULL_FORM,,"dmuchana barykada",,,,,
"inflatable door","Engineering inflatable door.",NOUN,PREFERRED,FULL_FORM,,"dmuchane drzwi",,,,,
lathe,"Generic production lathe.",NOUN,PREFERRED,FULL_FORM,"Masculine coined noun: lat / latu / latach. Not tokarka.",lat,,,,,
autolathe,"Basic lathe. Shared with cargo but used by eng.",NOUN,PREFERRED,FULL_FORM,"Not autotokarka. Inflect autolatu.",autolat,,,,,
"hyper convection autolathe","Heated autolathe variant.",NOUN,PREFERRED,FULL_FORM,,"autolat z hiperkonwekcją",,,,,
"Flatpacker 1001","Industrial machine packer.",NOUN,PREFERRED,FULL_FORM,,"Pakowacz 1001",,,,,
recycler,"Trash/recycler crusher.",NOUN,PREFERRED,FULL_FORM,,"maszyna do recyklingu",,,,,
"vending machine","Generic vendor.",NOUN,PREFERRED,FULL_FORM,,"automat sprzedający",,,,,
"condiment station","Kitchen condiment vendor.",NOUN,PREFERRED,FULL_FORM,,"automat z przyprawami",,,,,
"liberation station","Ammo vendor. EN brand name.",NOUN,PREFERRED,FULL_FORM,"PL uses descriptive name.","automat z amunicją",,,,,
Booze-O-Mat,"Bar alcohol vendor. Keep as brand.",PROPN,PREFERRED,FULL_FORM,,AlkoMat,,,,,
Bruise-O-Mat,"Syndicate booze vendor.",PROPN,PREFERRED,FULL_FORM,,NarąboMat,,,,,
PTech,"PDA/cartridge vendor. Keep brand.",PROPN,PREFERRED,FULL_FORM,,PTech,,,,,
ChefVend,"Chef ingredient vendor.",PROPN,PREFERRED,FULL_FORM,,SzefVend,,,,,
"ShadyCigs Deluxe","Cigarette vendor. Keep brand.",PROPN,PREFERRED,FULL_FORM,,"ShadyCigs Deluxe",,,,,
ClothesMate,"Clothing vendor.",PROPN,PREFERRED,FULL_FORM,,OdzieżoMat,,,,,
WinterDrobe,"Winter clothing vendor.",PROPN,PREFERRED,FULL_FORM,,ZimoDrób,,,,,
"Solar's Best Hot Drinks","Coffee vendor.",PROPN,PREFERRED,PHRASE,,"Najlepsze gorące napoje w Słonecznym",,,,,
"Robust Softdrinks","Cola vendor.",PROPN,PREFERRED,FULL_FORM,,"Napoje chłodzące Robust",,,,,
"Space Cola Vendor","Cola variant.",NOUN,PREFERRED,FULL_FORM,,"automat Space Cola",,,,,
"Space-Up! Vendor","Soda vendor.",NOUN,PREFERRED,FULL_FORM,,"automat Space-Up!",,,,,
"Star-kist Vendor","Soda vendor.",NOUN,PREFERRED,FULL_FORM,,"automat Star-kist",,,,,
"Shambler's Juice Vendor","Soda vendor.",NOUN,PREFERRED,FULL_FORM,,"automat Shambler's Juice",,,,,
"Pwr Game Vendor","Soda vendor.",NOUN,PREFERRED,FULL_FORM,,"automat Pwr Game",,,,,
"Dr. Gibb Vendor","Soda vendor.",NOUN,PREFERRED,FULL_FORM,,"automat Doktor Gib",,,,,
"Smite Vendor","Soda vendor.",NOUN,PREFERRED,FULL_FORM,,"automat Smite",,,,,
"Plasteel Chef's Dinnerware Vendor","Kitchenware vendor.",NOUN,PREFERRED,FULL_FORM,,NaczynioMat,,,,,
MagiVend,"Wizard vendor.",PROPN,PREFERRED,FULL_FORM,,CzaroMat,,,,,
"Discount Dan's","Discount snack vendor.",PROPN,PREFERRED,FULL_FORM,,"Discount Dan",,,,,
Engi-Vend,"Engineering spare parts vendor.",PROPN,PREFERRED,FULL_FORM,,InżyMat,,,,,
"NanoMed Civilian","Civilian chem vendor.",PROPN,PREFERRED,FULL_FORM,,"NanoMed Cywilny",,,,,
"NanoMed Plus","Medical chem vendor. Keep brand.",PROPN,PREFERRED,FULL_FORM,,"NanoMed Plus",,,,,
NanoMed,"Wall-mounted medical vendor. Keep brand.",PROPN,PREFERRED,FULL_FORM,,NanoMed,,,,,
"NanoMed band-aid","Wall-mounted civilian medical vendor.",NOUN,PREFERRED,FULL_FORM,,"NanoMed opatrunkowy",,,,,
NutriMax,"Hydroponics nutrient vendor.",PROPN,PREFERRED,FULL_FORM,,NutriMaks,,,,,
SecTech,"Security equipment vendor. Keep brand.",PROPN,PREFERRED,FULL_FORM,,SecTech,,,,,
"MegaSeed Servitor","Seed vendor.",NOUN,PREFERRED,FULL_FORM,,"MegaDystrybutor Nasion",,,,,
"Getmore Chocolate Corp","Snack vendor.",PROPN,PREFERRED,FULL_FORM,,"Czekolady Getmore sp. z o.o.",,,,,
"Sustenance Vendor","Prison food vendor.",NOUN,PREFERRED,FULL_FORM,,WięźnioMat,,,,,
VODA,"Soviet soda vendor. Cyrillic brand.",PROPN,PREFERRED,FULL_FORM,"Suffix VODA.",BODA,,,,,
AutoDrobe,"Costume vendor.",PROPN,PREFERRED,FULL_FORM,,AutoDeroba,,,,,
Vendomat,"Generic robust equipment vendor. Keep brand.",PROPN,PREFERRED,FULL_FORM,,Vendomat,,,,,
"Robotech Deluxe","Robotics vendor. Keep brand.",PROPN,PREFERRED,FULL_FORM,,"Robotech Deluxe",,,,,
YouTool,"Tool vendor.",PROPN,PREFERRED,FULL_FORM,,TyNarzędzie,,,,,
"Good Clean Fun","Games vendor.",PROPN,PREFERRED,PHRASE,,"Czysta Frajda",,,,,
"Mr. Chang","Chinese food vendor.",PROPN,PREFERRED,FULL_FORM,,"Pan Huang",,,,,
"Monkin' Donuts","Donut vendor. Keep brand.",PROPN,PREFERRED,FULL_FORM,,"Monkin' Donuts",,,,,
HyDrobe,"Botany wardrobe.",PROPN,PREFERRED,FULL_FORM,,HyDeroba,,,,,
LawDrobe,"Lawyer wardrobe.",PROPN,PREFERRED,FULL_FORM,,PrawoDeroba,,,,,
SecDrobe,"Security wardrobe.",PROPN,PREFERRED,FULL_FORM,,OchroDeroba,,,,,
BarDrobe,"Bartender wardrobe.",PROPN,PREFERRED,FULL_FORM,,BarDeroba,,,,,
PietyVend,"Chaplain vendor.",PROPN,PREFERRED,FULL_FORM,,BogoMat,,,,,
CargoDrobe,"Cargo wardrobe.",PROPN,PREFERRED,FULL_FORM,,LogiDeroba,,,,,
MediDrobe,"Medical wardrobe.",PROPN,PREFERRED,FULL_FORM,,MedyDeroba,,,,,
ChemDrobe,"Chemistry wardrobe.",PROPN,PREFERRED,FULL_FORM,,ChemDeroba,,,,,
CuraDrobe,"Librarian wardrobe.",PROPN,PREFERRED,FULL_FORM,,BibliDeroba,,,,,
AtmosDrobe,"Atmos wardrobe.",PROPN,PREFERRED,FULL_FORM,,AtmoDeroba,,,,,
EngiDrobe,"Engineering wardrobe.",PROPN,PREFERRED,FULL_FORM,,InżyDeroba,,,,,
ChefDrobe,"Chef wardrobe.",PROPN,PREFERRED,FULL_FORM,,SzefDeroba,,,,,
DetDrobe,"Detective wardrobe.",PROPN,PREFERRED,FULL_FORM,,DetyDrób,,,,,
JaniDrobe,"Janitor wardrobe.",PROPN,PREFERRED,FULL_FORM,,WoźnoDrób,,,,,
SciDrobe,"Science wardrobe.",PROPN,PREFERRED,FULL_FORM,,NaukoDrób,,,,,
SyndieDrobe,"Syndicate wardrobe.",PROPN,PREFERRED,FULL_FORM,,SyndyDrób,,,,,
RoboDrobe,"Roboticist wardrobe.",PROPN,PREFERRED,FULL_FORM,,RoboDrób,,,,,
GeneDrobe,"Genetics wardrobe.",PROPN,PREFERRED,FULL_FORM,,GenDeroba,,,,,
ViroDrobe,"Virology wardrobe.",PROPN,PREFERRED,FULL_FORM,,WiruDrób,,,,,
CentDrobe,"CentComm wardrobe.",PROPN,PREFERRED,FULL_FORM,,CentDrób,,,,,
"Happy Honk Dispenser","Clown meal vendor.",PROPN,PREFERRED,FULL_FORM,"Keep EN version.","Happy Honk",,,,,
Pride-O-Mat,"Pride vendor.",PROPN,PREFERRED,FULL_FORM,,DumoMat,,,,,
"gas tank dispenser","EVA/eng tank vendor.",NOUN,PREFERRED,FULL_FORM,,"dystrybutor butli gazowych",,,,,
ChemVend,"Chemistry reagent vendor.",PROPN,PREFERRED,FULL_FORM,,ChemoMat,,,,,
SyndieJuice,"Syndicate ChemVend.",PROPN,PREFERRED,FULL_FORM,,SyndySokoMat,,,,,
"ChemMaster 4000","Chem pill/bottle machine. Keep brand.",PROPN,PREFERRED,FULL_FORM,,"ChemMaster 4000",,,,,
"electrolysis unit","Chemistry electrolysis.",NOUN,PREFERRED,FULL_FORM,,"urządzenie do elektrolizy",,,,,
"tabletop centrifuge","Chemistry centrifuge.",NOUN,PREFERRED,FULL_FORM,,"wirówka stołowa",,,,,
hotplate,"Beaker heater.",NOUN,PREFERRED,FULL_FORM,,"płyta grzejna",,,,,
"reagent grinder","Chem/kitchen grinder. EN name; PL is młynek.",NOUN,PREFERRED,FULL_FORM,,młynek,,,,,
"industrial reagent grinder","Industrial chem grinder.",NOUN,PREFERRED,FULL_FORM,,"przemysłowy młynek",,,,,
"cloning pod",Cloner.,NOUN,PREFERRED,FULL_FORM,,"kapsuła do klonowania",,,,,
"cloning console computer","Cloning control console.",NOUN,PREFERRED,FULL_FORM,"Also listed as Computer.","konsola klonowania",,,,,
"medical scanner","Cloning/body scanner bed.",NOUN,PREFERRED,FULL_FORM,,"skaner medyczny",,,,,
"cryo pod","Cryo treatment pod.",NOUN,PREFERRED,FULL_FORM,,kriokomora,,,,,
vaccinator,"Vaccine machine.",NOUN,PREFERRED,FULL_FORM,,szczepioniarka,,,,,
